HP:0000002|Abnormality of body height|身高异常|偏离年龄和性别标准的身高正常值范围。
HP:0000080|Abnormality of reproductive system physiology|生殖系统生理功能异常|生殖系统功能异常。
HP:0000081|Duplicated collecting system|重复集合系统|肾集合系统重复畸形，定义为肾脏具有两个（而非通常的一个）肾盂肾盏系统。肾盂肾盏系统由肾盂和肾盏组成。重复的肾集合系统可伴有单一输尿管或双输尿管。在后一种情况下，两条输尿管分别排入膀胱或融合形成单一输尿管开口。
HP:0000083|Renal insufficiency|肾功能不全|肾功能减退，表现为尿液浓缩功能下降、废物清除能力降低、电解质平衡失调、血压稳态失衡以及钙代谢异常。
HP:0000085|Horseshoe kidney|马蹄肾|左右肾脏通过跨越中线的功能性肾实质或纤维组织峡部相连。
HP:0000086|Ectopic kidney|异位肾|肾异位（Renal Ectopia）
HP:0000089|Renal hypoplasia|肾发育不全|肾发育不全。
HP:0000090|Nephronophthisis|肾单位发育不良|肾皮质髓质交界处囊肿伴肾小管间质纤维化。
HP:0000091|Abnormal renal tubule morphology|肾小管形态异常|肾小管异常
HP:0000092|Renal tubular atrophy|肾小管萎缩|存在肾小管基底膜增厚冗余，或与周围非萎缩性肾小管相比，肾小管直径减少超过50%。
HP:0000093|Proteinuria|蛋白尿|蛋白尿（Proteinuria）
HP:0000095|Abnormal renal glomerulus morphology|肾小球形态异常|肾小球结构异常。
HP:0000096|Glomerular sclerosis|肾小球硬化症|肾小球内瘢痕组织积聚。
HP:0000097|Focal segmental glomerulosclerosis|局灶节段性肾小球硬化症|部分肾小球（非全部）内瘢痕组织的节段性积聚。
HP:0000098|Tall stature|高身材|身高超过年龄和性别标准的预期值。
HP:0000099|Glomerulonephritis|肾小球肾炎|肾小球肾炎
HP:0000100|Nephrotic syndrome|肾病综合征|肾病综合征是由肾小球功能障碍引起的一系列临床表现，其特征为肾小球毛细血管壁通透性增加，伴随显著的蛋白尿。肾病综合征是指由严重肾脏蛋白丢失所导致的一系列临床征象，包括蛋白尿、低白蛋白血症、水肿和高脂血症。
HP:0000103|Polyuria|多尿症|多尿症 (Polyuria)
HP:0000104|Renal agenesis|肾缺如|肾发育不全，即胚胎发生和发育过程中肾脏未能形成。
HP:0000105|Enlarged kidney|肾肿大|肾肿大（Nephromegaly）
HP:0000107|Renal cyst|肾囊肿|肾囊肿
HP:0000108|Renal corticomedullary cysts|肾皮质髓质囊肿|肾皮质与髓质交界处存在多发性囊肿。
HP:0000110|Renal dysplasia|肾发育不良|肾脏发育不良的存在。
HP:0000111|Renal juxtaglomerular cell hypertrophy/hyperplasia|肾小球旁细胞肥大/增生|肾小球旁细胞数量增多及体积增大。
HP:0000112|Nephropathy|肾病|肾病的非特异性术语，指肾脏疾病或损伤。
HP:0000113|Polycystic kidney dysplasia|多囊性肾发育不良|双侧肾脏多发性囊肿。
HP:0000114|Proximal tubulopathy|近端肾小管病|近端小管功能障碍，即肾单位导管系统中从肾小囊延伸至亨利袢的部分发生功能异常。
HP:0000117|Renal phosphate wasting|肾性磷酸盐丢失|低磷血症伴高尿磷。
HP:0000118|Phenotypic abnormality|表型异常|表型异常
HP:0000119|Abnormality of the genitourinary system|生殖泌尿系统异常|泌尿生殖系统异常的存在。
HP:0000121|Nephrocalcinosis|肾钙质沉着症|肾钙质沉着症是指钙盐在肾实质中的沉积。
HP:0000122|Unilateral renal agenesis|单侧肾缺如|单侧肾缺如。
HP:0000123|Nephritis|肾炎|肾脏炎症的存在。
HP:0000124|Renal tubular dysfunction|肾小管功能障碍|肾小管功能异常。肾脏的基本功能单位是肾单位，由肾小体和肾小管组成，每个成人肾脏大约有0.8至1.5百万个肾单位。肾小管的功能包括水、电解质、葡萄糖和氨基酸的重吸收，以及尿酸等物质的分泌。
HP:0000125|Pelvic kidney|盆腔肾|一种发育缺陷，表现为肾脏位于盆腔内的异常解剖位置。
HP:0000126|Hydronephrosis|肾积水|肾脏严重扩张伴肾盂和肾盏扩张。
HP:0000127|Renal salt wasting|肾性盐耗|尿液中一种或多种电解质浓度升高，同时血清中该电解质浓度降低。
HP:0000128|Renal potassium wasting|肾性钾丢失|低钾血症伴尿钾排泄增多。
HP:0000130|Abnormality of the uterus|子宫异常|子宫异常
HP:0000131|Uterine leiomyoma|子宫平滑肌瘤|子宫平滑肌瘤的存在。
HP:0000132|Menorrhagia|月经过多|周期性月经量过多，超过80毫升或持续时间超过7天。
HP:0000133|Gonadal dysgenesis|性腺发育不全|性腺发育不全（Gonadal dysgenesis）是指一系列可导致性腺（即睾丸或卵巢）发育障碍或相关表型特征的疾病的总称。在可能的情况下，应避免使用该术语进行新的注释，而应选择更具体的术语。
HP:0000134|Female hypogonadism|女性性腺功能减退症|女性性腺功能减退，即卵巢功能减退。
HP:0000135|Hypogonadism|性腺功能减退症|性腺功能减退
HP:0000136|Bifid uterus|双角子宫|双角子宫的存在。
HP:0000137|Abnormality of the ovary|卵巢异常|卵巢异常。
HP:0000138|Ovarian cyst|卵巢囊肿|卵巢单发或多发囊肿。
HP:0000139|Uterine prolapse|子宫脱垂|子宫脱垂的存在。
HP:0000140|Abnormality of the menstrual cycle|月经周期异常|排卵周期异常
HP:0000141|Amenorrhea|闭经|闭经（Amenorrhea）持续时间相当于既往连续3个月经周期或6个月以上。
HP:0000142|Abnormal vagina morphology|阴道形态异常|阴道结构异常。
HP:0000143|Rectovaginal fistula|直肠阴道瘘|阴道直肠瘘的存在。
HP:0000144|Decreased fertility|生育力下降|-
HP:0000145|Transverse vaginal septum|阴道横隔|-
HP:0000147|Polycystic ovaries|多囊卵巢|-
HP:0000148|Vaginal atresia|阴道闭锁|先天性阴道闭锁或阴道壁粘连导致的闭锁。
HP:0000149|Ovarian gonadoblastoma|卵巢性腺母细胞瘤|卵巢性腺母细胞瘤的存在。
HP:0000150|Gonadoblastoma|性腺母细胞瘤|性腺母细胞瘤的存在，这是一种由生殖细胞和性索成分聚集构成的性腺肿瘤。
HP:0000151|Aplasia of the uterus|子宫发育不全|先天性子宫缺失。发育不全是指在胚胎生长发育过程中由于原始组织缺失导致器官未能发育。
HP:0000152|Abnormality of head or neck|头部或颈部异常|头颈部异常。
HP:0000153|Abnormality of the mouth|口腔异常|口腔异常。
HP:0000154|Wide mouth|大口径|口角间距超过平均值2个标准差。或者，口腔开口宽度明显增加（主观判断）。
HP:0000155|Oral ulcer|口腔溃疡|口腔黏膜糜烂伴局部表面凹陷，由炎性坏死组织脱落所致。
HP:0000157|Abnormality of the tongue|舌部异常|舌部异常（Glossopathy）
HP:0000158|Macroglossia|巨舌症|舌体长度和宽度增加。
HP:0000159|Abnormal lip morphology|异常唇部形态|唇部畸形
HP:0000160|Narrow mouth|小口畸形|口角间距低于平均值2个标准差以上。或表现为口腔开口宽度明显减小（主观判断）。
HP:0000161|Median cleft upper lip|上唇正中裂|一种表现为上唇中线（正中）裂隙的唇裂类型。
HP:0000162|Glossoptosis|舌后坠|舌后移进入咽部，即舌体向后错位。
HP:0000163|Abnormal oral cavity morphology|口腔形态异常|口腔异常，即口腔开口或空腔部分的异常。
HP:0000164|Abnormality of the dentition|牙列异常|牙齿异常（Dental Anomaly）
HP:0000166|Severe periodontitis|重度牙周炎|重度牙周炎
HP:0000168|Abnormality of the gingiva|牙龈异常|牙龈异常（Gingival Abnormality）。
HP:0000169|Gingival fibromatosis|牙龈纤维瘤病|牙龈纤维化。
HP:0000171|Microglossia|小舌症|舌体长度和宽度减少。
HP:0000172|Abnormal uvula morphology|悬雍垂形态异常|悬雍垂异常，即软腭中部后缘的圆锥形突起异常。
HP:0000174|Abnormal palate morphology|腭形态异常|腭部异常，即口腔顶部结构的任何异常。
HP:0000175|Cleft palate|腭裂|腭裂是一种由于腭突融合失败导致的腭部发育缺陷，表现为口腔顶部（软腭和硬腭）的分离。
HP:0000176|Submucous cleft hard palate|硬腭粘膜下裂|硬腭黏膜下裂的特征是骨性腭中线存在骨性缺损，并被口腔顶部的黏膜覆盖。通过触诊可能检测到硬腭黏膜下裂，表现为骨性腭的切迹。
HP:0000177|Abnormal upper lip morphology|上唇形态异常|上唇畸形
HP:0000178|Abnormal lower lip morphology|下唇形态异常|下唇畸形
HP:0000179|Thick lower lip vermilion|下唇红唇增厚|下唇厚度增加，导致下唇外观突出。下唇唇红中线高度超过平均值2个标准差。或者，正面观下唇唇红高度明显增加（主观判断）。
HP:0000180|Lobulated tongue|分叶舌|舌缘和/或舌面出现多处凹陷和/或隆起，导致舌面轮廓不规则。
HP:0000182|Movement abnormality of the tongue|舌运动障碍|-
HP:0000183|Tongue muscle weakness|舌肌无力|舌肌肌力减退，导致舌运动困难，可能伴随构音障碍或吞咽障碍。
HP:0000185|Cleft soft palate|软腭裂|软腭裂（也称为腭帆或肌性腭）是由于妊娠第7至12周期间发育缺陷所致。软腭裂可导致咽鼓管功能异常，进而引发中耳畸形和听力困难，以及由于腭咽闭合不全导致的鼻音过重相关的言语问题。
HP:0000187|Broad alveolar ridges|宽阔的牙槽嵴|-
HP:0000188|Short upper lip|上唇短缩|上唇宽度减小。
HP:0000189|Narrow palate|腭狭窄|腭宽度低于平均值2个标准差以上（客观）或腭宽度明显减小（主观）。
HP:0000190|Abnormal oral frenulum morphology|口腔系带形态异常|舌系带异常，即连接舌与口腔底部的小粘膜皱襞异常，或口腔内存在副系带。
HP:0000191|Accessory oral frenulum|副口腔系带|从牙槽嵴延伸至上唇或下唇内表面的额外组织皱襞。
HP:0000193|Bifid uvula|双歧悬雍垂|悬雍垂分叉，最易见于尖端。
HP:0000194|Open mouth|张口|口面部特征表现为持续性或近乎持续性的张口状态。
HP:0000196|Lower lip pit|下唇凹陷|下唇红唇部凹陷，通常位于中线旁。
HP:0000197|Abnormal parotid gland morphology|异常腮腺形态|腮腺异常，腮腺为位于面部下颌支上方皮下组织及外耳前下方的唾液腺。
HP:0000198|Absence of Stensen duct|斯滕森管缺失|-
HP:0000199|Tongue nodules|舌结节|-
HP:0000200|Short lingual frenulum|舌系带过短|舌系带过短症（Ankyloglossia）
HP:0000201|Pierre-Robin sequence|皮埃尔-罗宾序列征|皮埃尔·罗宾畸形是一种发育畸形序列，其特征包括小颌畸形（下颌发育不全）、舌后坠和腭裂。
HP:0000202|Orofacial cleft|口面裂|口腔内存在裂隙（间隙、开口或沟槽），包括上唇裂和/或腭裂。上唇裂表现为唇部的沟槽或裂隙，最常见的原因是上颌突与中鼻突先天性融合失败。腭裂的特征是口腔顶部的沟状凹陷或裂隙，通常是由于腭部先天性未能正常融合所致。唇裂和腭裂可单独发生或同时发生。建议分别对每种缺陷进行编码。
HP:0000204|Cleft upper lip|唇裂|上唇裂或上唇沟。这是一种由于胚胎发育过程中唇部组织未融合而导致的先天性缺陷。
HP:0000205|Pursed lips|缩唇呼吸|面部外观异常，由持续唇部收缩导致，呈现皱缩或撅起状。
HP:0000206|Glossitis|舌炎|舌炎 (Glossitis)
HP:0000207|Triangular mouth|三角口畸形|口角呈三角形形态。
HP:0000211|Trismus|牙关紧闭症|张口受限
HP:0000212|Gingival overgrowth|牙龈增生|牙龈增生（即覆盖牙槽嵴的软组织增厚。增厚程度从仅累及牙间乳头到牙龈过度生长覆盖整个牙冠不等）。
HP:0000214|Lip telangiectasia|唇部毛细血管扩张症|唇部毛细血管扩张症（即存在浅表小血管扩张）。
HP:0000215|Thick upper lip vermilion|上唇红唇增厚|上唇红中线高度超过平均值2个标准差。或者，正面观上唇红高度明显增加（主观判断）。
HP:0000216|Broad secondary alveolar ridge|广泛性继发性牙槽嵴|-
HP:0000217|Xerostomia|口干症|口腔干燥症（Xerostomia）因唾液腺功能障碍所致。
HP:0000218|High palate|高腭弓|腭高超过平均值2个标准差（客观标准）或第一恒磨牙水平处腭高超过牙齿高度的两倍（主观标准）。
HP:0000219|Thin upper lip vermilion|上唇红缘薄|上唇红中线高度低于平均值2个标准差以上。或者，正面观上唇红高度明显降低（主观判断）。
HP:0000220|Velopharyngeal insufficiency|腭咽闭合不全|腭咽括约肌在言语过程中无法充分分隔鼻腔与口腔。
HP:0000221|Furrowed tongue|沟纹舌|舌背表面沟纹加深。
HP:0000222|Gingival hyperkeratosis|牙龈角化过度症|牙龈角化过度症。
HP:0000223|Abnormality of taste sensation|味觉异常|-
HP:0000224|Hypogeusia|味觉减退|味觉减退 (Hypogeusia)
HP:0000225|Gingival bleeding|牙龈出血|牙龈出血（Gingival Hemorrhage）
HP:0000227|Tongue telangiectasia|舌毛细血管扩张症|舌毛细血管扩张症（即舌表面小血管扩张）。
HP:0000228|Oral cavity telangiectasia|口腔毛细血管扩张症|口腔毛细血管扩张症的存在。
HP:0000230|Gingivitis|牙龈炎|牙龈炎
HP:0000232|Everted lower lip vermilion|下唇红唇外翻|下唇外翻畸形，即下唇向外翻转，使得下唇红唇内侧（通常与牙齿相对）在正面观中可见。
HP:0000233|Thin vermilion border|薄红唇缘|唇内侧朱红色部分高度低于平均值2个标准差以上，或正面观唇朱红色部分高度明显减少。朱红色即唇的红色部分（值得注意的是，朱红色本身也常被等同于唇部）。
HP:0000234|Abnormality of the head|头部畸形|头部畸形
HP:0000235|Abnormal cranial suture/fontanelle morphology|颅缝/囟门形态异常|囟门（由厚膜覆盖的区域，通常在生命的前两年内骨化）或颅缝（颅骨关节骨或软骨通过缝韧带连接的纤维关节）的任何异常。
HP:0000236|Abnormal anterior fontanelle morphology|前囟形态异常|前囟异常，即位于冠状缝与矢状缝交汇处的颅囟异常。
HP:0000237|Small anterior fontanelle|前囟较小|相对于年龄相关标准，前囟异常缩小。
HP:0000238|Hydrocephalus|脑积水|脑积水是由于脑脊液（CSF）从脑室内的产生部位到其被体循环吸收部位的流动受阻，导致脑室系统主动扩张的一种病理状态。
HP:0000239|Large fontanelles|大囟门|在新生儿中，两块额骨、两块顶骨和一块枕骨通过纤维性骨缝连接，形成较小的后囟和较大的菱形前囟。这些区域使颅骨能够通过产道并为后续生长提供空间。囟门逐渐骨化，后囟通常在出生后8周闭合，前囟则在9至16个月龄时闭合。若囟门大小超过年龄相关标准，则诊断为囟门过大。
HP:0000240|Abnormality of skull size|颅骨大小异常|颅骨大小异常
HP:0000242|Parietal bossing|顶骨隆起|顶骨隆起是指顶骨区域显著突出的现象。
HP:0000243|Trigonocephaly|三角头畸形|楔形头或三角头，三角形的顶点位于前额中线，三角形的基底位于枕部。
HP:0000244|Brachyturricephaly|短头畸形|颅骨垂直高度异常及前后径缩短，常合并枕区畸形。
HP:0000245|Abnormal paranasal sinus morphology|鼻窦形态异常|鼻旁窦（颅窦）异常，鼻旁窦为位于颅骨和面部骨骼内的含气腔隙，并与鼻腔相通。鼻旁窦包括上颌窦、额窦、筛窦和蝶窦。
HP:0000246|Sinusitis|鼻窦炎|鼻旁窦炎，由病毒、细菌或真菌感染、过敏或自身免疫反应引起。
HP:0000248|Brachycephaly|短头畸形|颅骨形态异常，表现为前后径减小。即，头指数大于81%。或者，与宽度相比，头部前后径（长度）明显缩短。
HP:0000250|Dense calvaria|颅骨密度增高|颅骨骨质密度异常增高。
HP:0000252|Microcephaly|小头畸形|头围低于同年龄和性别平均值的2个标准差。
HP:0000253|Progressive microcephaly|进行性小头畸形|进行性小头畸形的诊断标准为头围逐渐落后于年龄和性别相关的正常范围。
HP:0000255|Acute sinusitis|急性鼻窦炎|急性鼻窦炎。
HP:0000256|Macrocephaly|巨颅症|枕额（头）围大于与年龄、性别相匹配的正常标准的第97百分位数。或者，颅骨大小明显增加。
HP:0000260|Wide anterior fontanel|前囟宽大|前囟门相对于年龄相关标准的扩大。
HP:0000262|Turricephaly|塔状头畸形|相对于宽度和长度而言，头部较高。
HP:0000263|Oxycephaly|尖头畸形|尖头畸形（源自希腊语“oxus”，意为尖锐，和“kephalos”，意为头部）指的是颅骨呈圆锥形或尖形的形态。
HP:0000264|Abnormal mastoid morphology|异常乳突形态|乳突异常，即从颞骨乳突部底面突出的锥形突起。
HP:0000265|Mastoiditis|乳突炎|-
HP:0000267|Cranial asymmetry|颅骨不对称|颅骨不对称。
HP:0000268|Dolichocephaly|长头畸形|颅骨形态异常，特征为前后径增大，即颅骨前后维度增加。头指数小于76%。或表现为头部前后长度相对于宽度明显增加。通常由于矢状缝过早闭合所致。
HP:0000269|Prominent occiput|枕骨隆突|枕骨凸度增加（颅骨后部）。
HP:0000270|Delayed cranial suture closure|颅缝延迟闭合|新生儿通常出生时具有两个囟门，位于冠状缝和矢状缝交界处的菱形前囟，以及位于枕骨和顶骨交界处的后囟。后囟通常在出生后第8周闭合，前囟平均在出生后第18个月闭合。若囟门闭合延迟超过正常年龄，则适用此术语。
HP:0000271|Abnormality of the face|面部畸形|面部畸形
HP:0000272|Malar flattening|颧骨平坦|颧骨（哺乳动物中的颧骨）的颧突发育不全，可通过侧面观察、正面观察和/或触诊进行评估。
HP:0000273|Facial grimacing|面部扭曲|-
HP:0000274|Small face|小面畸形|短窄面容
HP:0000275|Narrow face|狭长面容|双侧颧骨（上面部）和双侧下颌角（下面部）宽度均低于平均值超过2个标准差（客观标准）；或，上下颌面部宽度明显减小（主观标准）。
HP:0000276|Long face|Dolichofacial morphology|面部高度（长度）超过平均值2个标准差以上（客观）；或，面部高度（长度）明显增加（主观）。
HP:0000277|Abnormal mandible morphology|下颌骨形态异常|下颌骨异常
HP:0000278|Retrognathia|下颌后缩|下颌骨后移异常。
HP:0000280|Coarse facial features|面部粗糙特征|眉、鼻、唇、口及下颌轮廓精细锐利度缺失，通常由于圆钝且厚重的面部特征或皮肤增厚所致，伴或不伴皮下及骨组织增厚。
HP:0000282|Facial edema|面部水肿|-
HP:0000283|Broad face|宽面型|颧骨间（上面部）和下颌角间（下面部）宽度超过平均值2个标准差以上（客观）；或面部宽度明显增加（主观）。
HP:0000284|obsolete Abnormality of the ocular region|眼部区域异常|-
HP:0000286|Epicanthus|内眦赘皮|上睑内侧皮肤皱襞，呈弧形向下延伸，覆盖、经过并位于内眦前方及外侧。
HP:0000287|Increased facial adipose tissue|面部脂肪组织增多|面部皮下脂肪组织增多。
HP:0000288|Abnormality of the philtrum|人中异常|人中异常。
HP:0000289|Broad philtrum|宽人中|人中嵴间距，测量于唇红缘正上方，超过平均值2个标准差以上，或表现为明显增宽的人中嵴间距。
HP:0000290|Abnormal forehead morphology|额部形态异常|额部畸形。
HP:0000291|Abnormality of facial adipose tissue|面部脂肪组织异常|-
HP:0000292|Loss of facial adipose tissue|面部脂肪组织丧失|面部正常皮下脂肪组织丧失。
HP:0000293|Full cheeks|面颊丰满|颧骨与下颌骨之间软组织突出度或圆润度增加。
HP:0000294|Low anterior hairline|低位前发际线|发际线（trichion）与眉间点（glabella，即鼻根上方额骨最突出点）之间的中线距离，低于平均值两个标准差（SD）以上。或者，发际线与眉间点之间的距离明显缩短。
HP:0000295|Doll-like facies|玩偶面容|特征性面部外观，表现为圆形面部轮廓、丰满的面颊、短鼻以及相对较小的下颌。
HP:0000297|Facial hypotonia|面部肌张力减退|面神经（第七对颅神经）支配的肌肉肌张力减退。
HP:0000298|Mask-like facies|面具样面容|面部表情缺失，常伴有凝视和轻微张口。
